customer_no,Full_Date,deliquency_months,recovery_amt,recovery_branch
2671,2018-03-01,30 Days,12.59,Shillong
2672,2017-08-01,90 Days,0.59,Shillong
2673,2017-06-01,30 Days,6.99,Srinagar
2675,2018-10-01,60 Days,2.8,Bengaluru
2676,2018-09-01,12 Months,12.59,Srinagar
2677,2018-02-01,6 Month,13.98,Ranchi
2678,2018-06-01,6 Month,5.59,Bengaluru
2679,2018-02-01,24 Months and more,1.18,Chennai
2684,2017-01-01,12 Months,2.94,Aurangabad
2688,2018-03-01,60 Days,2.8,Ranchi
2689,2017-10-01,30 Days,2.36,Shillong
2691,2017-07-01,12 Months,4.2,Mumbai
2692,2018-02-01,6 Month,2.36,Bhopal
2693,2018-04-01,60 Days,1.77,Ranchi
2694,2017-01-01,6 Month,8.39,Pune
2695,2017-06-01,24 Months and more,8.39,Mumbai
2696,2017-01-01,90 Days,4.71,Srinagar
2697,2017-07-01,12 Months,1.18,Gandhinagar
2698,2017-10-01,30 Days,10.6,Jaipur
2699,2018-01-01,12 Months,9.42,Aurangabad
2700,2017-06-01,30 Days,12.95,Mumbai
2701,2017-11-01,60 Days,14.13,Nasik
2702,2018-10-01,60 Days,11.78,Chandigarh
2704,2018-02-01,6 Month,7.07,Bhopal
2705,2017-05-01,12 Months,2.36,Nagpur
2706,2018-11-01,60 Days,4.71,Gandhinagar
2707,2017-10-01,60 Days,11.19,Jaipur
2709,2018-10-01,90 Days,1.18,Gandhinagar
2710,2018-03-01,24 Months and more,4.12,Srinagar
2711,2017-07-01,12 Months,1.18,Chandigarh
2712,2018-10-01,12 Months,7.07,Aurangabad
2713,2018-10-01,30 Days,9.79,Nasik
2714,2018-02-01,30 Days,12.59,Mumbai
2716,2017-06-01,12 Months,9.79,Chandigarh
2719,2017-04-01,24 Months and more,7.07,Bengaluru
2720,2017-11-01,12 Months,12.59,Mumbai
2721,2018-12-01,6 Month,13.98,Nasik
2725,2018-02-01,6 Month,7.07,Bhopal
2726,2018-06-01,90 Days,9.79,Gandhinagar
2727,2017-02-01,12 Months,5.59,Aurangabad
2728,2017-10-01,24 Months and more,4.71,Shillong
2729,2017-06-01,24 Months and more,0.59,Jaipur
2730,2018-03-01,6 Month,4.71,Shillong
2732,2018-11-01,12 Months,5.3,Gandhinagar
2733,2018-03-01,90 Days,7.07,Aurangabad
2734,2017-05-01,6 Month,2.94,Srinagar
2736,2018-11-01,12 Months,4.12,Delhi
2737,2017-12-01,24 Months and more,2.94,Bhopal
2739,2018-01-01,6 Month,8.39,Ranchi
2740,2018-02-01,30 Days,3.53,Bhopal
2742,2017-04-01,90 Days,1.18,Delhi
2743,2018-08-01,60 Days,12.59,Ranchi
2748,2017-04-01,6 Month,5.59,Ranchi
2750,2018-04-01,90 Days,5.89,Bengaluru
2753,2017-06-01,12 Months,3.53,Ranchi
2754,2018-04-01,6 Month,1.18,Nagpur
2755,2018-08-01,24 Months and more,2.94,Chandigarh
2756,2017-11-01,30 Days,4.12,Delhi
2758,2017-12-01,24 Months and more,8.39,Aurangabad
2760,2018-09-01,30 Days,11.19,Chandigarh
2762,2017-10-01,90 Days,6.99,Chennai
2763,2017-11-01,30 Days,4.71,Srinagar
2764,2017-01-01,60 Days,6.99,Delhi
2766,2018-10-01,12 Months,12.95,Ranchi
2768,2018-11-01,12 Months,3.53,Bhopal
2770,2018-12-01,6 Month,7.07,Chennai
2771,2017-04-01,90 Days,12.59,Chennai
2772,2017-06-01,60 Days,4.2,Shillong
2775,2018-05-01,60 Days,3.53,Pune
2776,2018-06-01,30 Days,13.98,Bhopal
2777,2017-01-01,6 Month,4.2,Shillong
2778,2018-07-01,12 Months,5.3,Bengaluru
2779,2017-03-01,12 Months,13.98,Srinagar
2780,2017-10-01,6 Month,11.19,Jaipur
2781,2018-09-01,6 Month,8.39,Pune
2783,2018-04-01,90 Days,4.12,Srinagar
2785,2017-08-01,30 Days,7.07,Srinagar
2788,2017-07-01,6 Month,6.48,Srinagar
2791,2018-06-01,30 Days,0.59,Chennai
2795,2017-05-01,60 Days,7.07,Nasik
2796,2017-04-01,6 Month,3.53,Bengaluru
2800,2017-09-01,30 Days,14.13,Ranchi
2801,2017-08-01,30 Days,4.71,Mumbai
2802,2018-09-01,12 Months,8.39,Chennai
2805,2018-03-01,24 Months and more,16.78,Shillong
2806,2018-05-01,60 Days,4.71,Jaipur
2807,2018-08-01,90 Days,8.24,Nasik
2809,2018-04-01,90 Days,5.59,Gandhinagar
2810,2018-08-01,12 Months,14.13,Pune
2811,2018-08-01,30 Days,0.59,Pune
2812,2017-06-01,90 Days,1.18,Pune
2814,2018-09-01,12 Months,1.18,Nagpur
2816,2017-08-01,12 Months,0.59,Srinagar
2818,2017-06-01,6 Month,8.39,Ranchi
2819,2017-10-01,12 Months,12.95,Nagpur
2820,2017-12-01,60 Days,14.13,Ranchi
2821,2017-09-01,24 Months and more,1.18,Shillong
2823,2017-07-01,12 Months,8.39,Ranchi
2826,2018-08-01,90 Days,6.48,Chandigarh
2827,2017-12-01,6 Month,4.71,Nasik
2828,2017-05-01,6 Month,2.36,Bhopal
2830,2018-12-01,90 Days,3.53,Chandigarh
2831,2018-06-01,12 Months,16.78,Nasik
2832,2018-05-01,90 Days,8.24,Chennai
2833,2018-05-01,60 Days,12.95,Pune
2834,2018-09-01,12 Months,2.36,Bengaluru
2835,2018-08-01,12 Months,13.98,Srinagar
2836,2018-11-01,6 Month,1.18,Chandigarh
2837,2017-06-01,6 Month,3.53,Chandigarh
2838,2017-01-01,24 Months and more,4.71,Aurangabad
2840,2018-04-01,90 Days,4.2,Mumbai
2841,2017-08-01,24 Months and more,6.48,Bengaluru
2842,2017-02-01,24 Months and more,2.8,Nagpur
2844,2017-11-01,6 Month,3.53,Mumbai
2849,2017-07-01,12 Months,0.59,Chandigarh
2851,2018-03-01,12 Months,0.59,Mumbai
2854,2017-11-01,24 Months and more,11.78,Nasik
2857,2018-12-01,12 Months,3.53,Gandhinagar
2858,2017-12-01,60 Days,3.53,Ranchi
2859,2017-09-01,30 Days,2.36,Bhopal
2860,2018-11-01,12 Months,7.07,Chandigarh
2861,2017-11-01,90 Days,6.99,Nagpur
2863,2017-01-01,24 Months and more,5.89,Pune
2864,2017-11-01,30 Days,11.19,Bengaluru
2867,2018-02-01,90 Days,4.71,Pune
2869,2017-10-01,30 Days,5.89,Nagpur
2870,2017-02-01,60 Days,7.07,Gandhinagar
2872,2017-08-01,12 Months,4.71,Aurangabad
2874,2017-03-01,24 Months and more,6.48,Nagpur
2875,2018-09-01,90 Days,6.48,Chennai
2876,2017-08-01,60 Days,2.94,Mumbai
2877,2017-02-01,60 Days,5.89,Gandhinagar
2879,2018-03-01,60 Days,1.4,Delhi
2880,2018-09-01,6 Month,6.99,Aurangabad
2881,2017-05-01,12 Months,7.07,Srinagar
2882,2017-01-01,12 Months,5.59,Nagpur
2884,2017-01-01,30 Days,13.98,Bhopal
2885,2018-10-01,60 Days,4.12,Nagpur
2886,2017-12-01,90 Days,12.59,Shillong
2887,2018-02-01,60 Days,1.4,Nagpur
2888,2017-05-01,60 Days,11.78,Delhi
2889,2018-03-01,24 Months and more,3.53,Delhi
2890,2018-03-01,12 Months,4.12,Shillong
2891,2017-06-01,6 Month,2.36,Nasik
2894,2018-12-01,60 Days,14.13,Chennai
2895,2018-12-01,24 Months and more,3.53,Ranchi
2896,2017-02-01,90 Days,5.89,Chennai
2899,2018-07-01,24 Months and more,6.48,Srinagar
2900,2018-02-01,24 Months and more,4.12,Gandhinagar
2901,2018-06-01,12 Months,7.07,Chennai
2902,2018-11-01,12 Months,1.18,Ranchi
2903,2018-08-01,24 Months and more,2.94,Mumbai
2904,2017-07-01,12 Months,11.19,Bengaluru
2906,2018-12-01,90 Days,5.89,Nasik
2907,2017-02-01,24 Months and more,8.39,Mumbai
2908,2018-12-01,6 Month,5.89,Gandhinagar
2911,2017-07-01,12 Months,3.53,Gandhinagar
2913,2018-03-01,12 Months,7.07,Nasik
2914,2018-11-01,12 Months,3.53,Shillong
2915,2018-08-01,6 Month,8.39,Bhopal
2916,2018-06-01,6 Month,5.59,Chennai
2917,2017-03-01,12 Months,8.39,Ranchi
2919,2017-05-01,24 Months and more,2.94,Jaipur
2922,2017-05-01,24 Months and more,7.07,Chennai
2923,2018-05-01,30 Days,1.18,Aurangabad
2924,2018-11-01,12 Months,12.95,Bengaluru
2927,2017-03-01,24 Months and more,11.19,Nasik
2929,2018-05-01,30 Days,2.36,Bengaluru
2930,2018-03-01,60 Days,5.89,Chandigarh
2931,2018-02-01,6 Month,12.95,Ranchi
2933,2017-11-01,30 Days,2.8,Pune
2934,2018-08-01,90 Days,6.99,Aurangabad
2935,2017-02-01,90 Days,5.89,Chandigarh
2936,2018-10-01,60 Days,5.3,Pune
2937,2017-07-01,90 Days,1.77,Bengaluru
2938,2018-06-01,30 Days,11.19,Pune
2939,2018-02-01,6 Month,5.59,Jaipur
2940,2018-09-01,60 Days,2.36,Nagpur
2942,2018-06-01,60 Days,6.99,Nagpur
2944,2018-06-01,12 Months,4.71,Srinagar
2945,2018-08-01,12 Months,0.59,Bhopal
2946,2017-10-01,24 Months and more,1.18,Srinagar
2947,2017-06-01,90 Days,2.94,Jaipur
2948,2017-01-01,24 Months and more,3.53,Nagpur
2949,2018-01-01,12 Months,2.94,Bengaluru
2950,2018-08-01,90 Days,4.12,Chennai
2951,2017-02-01,24 Months and more,2.8,Chennai
2953,2018-12-01,60 Days,7.07,Chandigarh
2955,2017-08-01,60 Days,2.8,Jaipur
2956,2018-07-01,12 Months,1.18,Jaipur
2957,2017-10-01,24 Months and more,9.79,Bhopal
2958,2017-02-01,6 Month,10.6,Bengaluru
2959,2017-05-01,90 Days,3.53,Nasik
2961,2018-03-01,6 Month,6.99,Nagpur
2962,2018-09-01,30 Days,0.59,Srinagar
2963,2017-04-01,30 Days,3.53,Ranchi
2964,2017-07-01,90 Days,5.59,Chennai
2966,2018-01-01,6 Month,4.71,Chandigarh
2967,2018-03-01,24 Months and more,5.3,Bhopal
2968,2018-11-01,6 Month,4.71,Jaipur
2969,2017-01-01,12 Months,5.59,Chennai
2970,2018-02-01,60 Days,13.98,Nagpur
2971,2018-07-01,60 Days,5.3,Aurangabad
2972,2018-06-01,60 Days,6.48,Pune
2973,2017-10-01,6 Month,3.53,Nagpur
2974,2017-04-01,24 Months and more,0.59,Bengaluru
2975,2018-06-01,60 Days,1.4,Gandhinagar
2976,2017-09-01,60 Days,1.4,Delhi
2977,2018-02-01,6 Month,1.77,Mumbai
2978,2017-03-01,60 Days,6.48,Mumbai
2979,2017-02-01,6 Month,4.12,Chandigarh
2980,2018-11-01,90 Days,8.39,Nagpur
2981,2017-05-01,6 Month,1.4,Jaipur
2983,2018-05-01,60 Days,11.19,Bhopal
2985,2017-05-01,60 Days,1.18,Nagpur
2986,2017-10-01,30 Days,11.78,Shillong
2987,2018-03-01,30 Days,4.2,Ranchi
2988,2018-03-01,6 Month,0.59,Nagpur
2989,2017-03-01,6 Month,11.19,Shillong
2991,2017-07-01,30 Days,8.24,Nasik
2992,2017-09-01,60 Days,5.89,Ranchi
2993,2018-05-01,90 Days,15.38,Mumbai
2994,2017-11-01,12 Months,5.3,Gandhinagar
2995,2018-01-01,6 Month,8.39,Gandhinagar
2996,2018-09-01,12 Months,6.48,Gandhinagar
2997,2018-02-01,30 Days,4.2,Shillong
2998,2018-04-01,60 Days,7.07,Mumbai
2999,2017-01-01,90 Days,7.07,Shillong
3000,2018-06-01,12 Months,5.3,Bengaluru
3001,2017-07-01,6 Month,6.48,Shillong
3002,2018-07-01,30 Days,3.53,Delhi
3004,2017-01-01,6 Month,1.18,Delhi
3005,2017-08-01,30 Days,8.39,Bengaluru
3006,2017-11-01,24 Months and more,1.77,Chandigarh
3008,2017-01-01,30 Days,0.59,Srinagar
3009,2018-05-01,60 Days,6.99,Bhopal
3010,2017-01-01,6 Month,8.39,Srinagar
3011,2018-01-01,12 Months,3.53,Nagpur
3012,2018-04-01,24 Months and more,11.78,Bhopal
3014,2017-02-01,30 Days,1.18,Chandigarh
3015,2017-10-01,30 Days,4.12,Bhopal
3016,2017-11-01,30 Days,6.48,Aurangabad
3017,2018-01-01,24 Months and more,5.3,Ranchi
3018,2017-11-01,30 Days,1.77,Shillong
3019,2017-08-01,6 Month,9.42,Chennai
3023,2018-07-01,30 Days,7.07,Bengaluru
3024,2018-04-01,24 Months and more,1.77,Bhopal
3025,2018-09-01,60 Days,2.94,Nasik
3028,2017-08-01,6 Month,2.36,Pune
3031,2018-03-01,60 Days,15.38,Srinagar
3032,2018-12-01,6 Month,2.94,Jaipur
3034,2017-11-01,60 Days,16.78,Ranchi
3036,2018-07-01,24 Months and more,7.07,Nasik
3039,2018-07-01,6 Month,7.07,Nagpur
3041,2017-02-01,60 Days,2.94,Bhopal
3044,2017-03-01,12 Months,12.59,Shillong
3045,2017-06-01,12 Months,4.2,Pune
3047,2017-08-01,6 Month,15.38,Aurangabad
3048,2017-06-01,6 Month,2.36,Bhopal
3049,2017-10-01,12 Months,16.78,Nasik
3050,2017-09-01,6 Month,10.6,Pune
3053,2018-12-01,30 Days,3.53,Jaipur
3054,2018-10-01,30 Days,5.3,Bengaluru
3055,2018-06-01,60 Days,7.07,Bengaluru
3056,2017-03-01,90 Days,15.38,Jaipur
3058,2018-06-01,90 Days,3.53,Chandigarh
3059,2017-08-01,24 Months and more,3.53,Bengaluru
3061,2017-06-01,60 Days,9.79,Nasik
3062,2018-12-01,30 Days,2.94,Chandigarh
3063,2017-03-01,24 Months and more,15.38,Chennai
3064,2018-09-01,90 Days,2.94,Ranchi
3065,2018-08-01,30 Days,15.38,Gandhinagar
3066,2017-08-01,60 Days,7.07,Jaipur
3070,2017-07-01,90 Days,1.18,Delhi
3071,2018-10-01,60 Days,1.18,Nagpur
3072,2017-06-01,60 Days,1.18,Chennai
3073,2017-06-01,30 Days,15.38,Pune
3074,2017-02-01,6 Month,9.42,Gandhinagar
3075,2017-01-01,90 Days,1.18,Gandhinagar
3077,2018-11-01,12 Months,4.12,Srinagar
3079,2018-04-01,24 Months and more,12.59,Bengaluru
3080,2017-05-01,12 Months,6.99,Bhopal
3082,2017-05-01,24 Months and more,5.59,Shillong
3083,2017-10-01,90 Days,4.12,Delhi
3084,2017-12-01,90 Days,14.13,Mumbai
3085,2018-04-01,90 Days,5.89,Nagpur
3087,2017-12-01,30 Days,12.59,Bhopal
3088,2017-06-01,90 Days,9.42,Pune
3089,2017-03-01,12 Months,8.39,Nagpur
3090,2018-07-01,6 Month,13.98,Jaipur
3093,2018-03-01,6 Month,5.59,Bhopal
3094,2017-09-01,6 Month,11.78,Srinagar
3095,2017-10-01,60 Days,7.07,Ranchi
3097,2017-01-01,6 Month,5.89,Chennai
3098,2017-07-01,6 Month,1.18,Chennai
3100,2018-10-01,6 Month,4.71,Ranchi
3102,2018-04-01,6 Month,5.3,Nagpur
3103,2018-07-01,90 Days,0.59,Aurangabad
3105,2017-10-01,90 Days,6.48,Delhi
3106,2018-11-01,12 Months,2.36,Delhi
3107,2017-02-01,60 Days,9.79,Srinagar
3110,2017-05-01,6 Month,1.18,Jaipur
3112,2018-11-01,90 Days,1.4,Ranchi
3115,2017-12-01,24 Months and more,2.94,Srinagar
3116,2017-05-01,24 Months and more,8.39,Jaipur
3117,2017-10-01,30 Days,5.89,Nasik
3119,2017-08-01,24 Months and more,4.71,Gandhinagar
3120,2018-02-01,12 Months,1.77,Mumbai
3123,2017-07-01,6 Month,1.18,Nasik
3124,2017-06-01,24 Months and more,11.19,Delhi
3125,2017-06-01,24 Months and more,1.18,Bengaluru
3126,2018-08-01,24 Months and more,13.98,Gandhinagar
3127,2018-02-01,24 Months and more,4.71,Nasik
3128,2018-05-01,12 Months,13.98,Pune
3129,2018-03-01,12 Months,1.18,Srinagar
3130,2018-06-01,24 Months and more,1.4,Bengaluru
3131,2017-07-01,24 Months and more,4.71,Delhi
3133,2017-12-01,60 Days,6.99,Chandigarh
3134,2017-04-01,90 Days,3.53,Jaipur
3135,2017-10-01,6 Month,1.18,Ranchi
3136,2018-07-01,12 Months,5.59,Ranchi
3138,2018-08-01,24 Months and more,7.07,Nasik
3139,2017-04-01,60 Days,7.07,Delhi
3141,2017-01-01,6 Month,13.98,Bengaluru
3142,2018-06-01,60 Days,2.36,Bengaluru
3145,2018-11-01,60 Days,12.59,Nagpur
3147,2018-03-01,12 Months,5.59,Gandhinagar
3150,2018-04-01,90 Days,4.71,Bengaluru
3152,2017-05-01,24 Months and more,2.36,Bhopal
3154,2018-06-01,60 Days,7.07,Mumbai
3156,2018-01-01,90 Days,1.18,Aurangabad
3157,2017-05-01,6 Month,8.24,Chennai
3158,2017-10-01,24 Months and more,4.71,Mumbai
3159,2018-02-01,90 Days,13.98,Aurangabad
3160,2017-07-01,30 Days,6.99,Nagpur
3161,2017-02-01,12 Months,0.59,Ranchi
3162,2018-10-01,30 Days,4.71,Jaipur
3163,2018-05-01,12 Months,0.59,Pune
3164,2018-08-01,60 Days,0.59,Mumbai
3165,2018-02-01,30 Days,2.8,Chennai
3166,2017-07-01,24 Months and more,4.71,Delhi
3167,2018-07-01,30 Days,2.36,Nasik
3168,2018-10-01,30 Days,12.59,Pune
3169,2018-11-01,6 Month,2.36,Pune
3170,2018-03-01,60 Days,2.8,Jaipur
3171,2018-02-01,12 Months,6.48,Srinagar
3172,2018-03-01,30 Days,13.98,Chandigarh
3173,2017-05-01,24 Months and more,15.38,Gandhinagar
3175,2017-12-01,60 Days,11.19,Aurangabad
3176,2018-03-01,24 Months and more,1.77,Nagpur
3177,2018-04-01,24 Months and more,13.98,Srinagar
3179,2018-01-01,24 Months and more,8.39,Jaipur
3181,2018-01-01,60 Days,5.3,Bhopal
3182,2017-11-01,60 Days,8.39,Jaipur
3183,2018-09-01,60 Days,5.89,Bhopal
3184,2018-02-01,24 Months and more,0.59,Jaipur
3185,2017-08-01,90 Days,5.3,Bengaluru
3187,2018-09-01,60 Days,0.59,Bhopal
3188,2018-08-01,12 Months,4.2,Mumbai
3189,2018-12-01,24 Months and more,8.39,Chandigarh
3190,2018-12-01,60 Days,10.6,Gandhinagar
3193,2018-05-01,90 Days,5.89,Nagpur
3197,2018-04-01,6 Month,2.94,Delhi
3198,2018-04-01,12 Months,12.59,Srinagar
3199,2017-12-01,30 Days,4.12,Chandigarh
3201,2017-05-01,60 Days,7.07,Jaipur
3202,2018-07-01,24 Months and more,3.53,Bhopal
3203,2017-04-01,30 Days,3.53,Jaipur
3207,2018-01-01,12 Months,9.79,Delhi
3208,2018-04-01,6 Month,4.71,Aurangabad
3210,2017-11-01,24 Months and more,13.98,Pune
3211,2017-08-01,12 Months,3.53,Jaipur
3213,2018-11-01,30 Days,7.07,Ranchi
3214,2017-12-01,24 Months and more,1.18,Gandhinagar
3216,2017-06-01,6 Month,7.07,Delhi
3217,2018-09-01,6 Month,4.71,Bengaluru
3219,2018-11-01,12 Months,8.39,Aurangabad
3220,2017-03-01,30 Days,3.53,Jaipur
3221,2018-10-01,24 Months and more,5.89,Delhi
3222,2017-04-01,12 Months,15.38,Ranchi
3224,2018-03-01,24 Months and more,4.12,Chennai
3226,2018-12-01,90 Days,6.48,Aurangabad
3227,2017-05-01,30 Days,4.12,Shillong
3229,2017-09-01,24 Months and more,5.3,Nasik
3232,2017-04-01,90 Days,16.78,Nasik
3233,2017-02-01,12 Months,5.59,Nasik
3234,2017-03-01,24 Months and more,3.53,Chandigarh
3236,2017-07-01,30 Days,12.59,Pune
3237,2018-09-01,90 Days,4.12,Bengaluru
3239,2017-06-01,90 Days,11.78,Mumbai
3240,2018-12-01,6 Month,2.94,Bengaluru
3241,2017-10-01,24 Months and more,1.77,Nasik
3242,2017-02-01,12 Months,12.95,Chandigarh
3243,2017-07-01,30 Days,2.94,Chandigarh
3246,2018-04-01,90 Days,12.95,Delhi
3251,2018-09-01,12 Months,2.36,Shillong
3253,2017-01-01,90 Days,16.78,Jaipur
3256,2018-12-01,60 Days,5.59,Chennai
3257,2018-06-01,6 Month,1.18,Srinagar
3258,2017-01-01,24 Months and more,15.38,Ranchi
3259,2018-08-01,12 Months,4.12,Bengaluru
3260,2017-11-01,24 Months and more,1.77,Gandhinagar
3261,2017-07-01,90 Days,9.79,Chennai
3263,2017-05-01,12 Months,1.77,Srinagar
3264,2018-10-01,90 Days,13.98,Shillong
3265,2018-01-01,6 Month,7.07,Chandigarh
3266,2017-06-01,60 Days,6.48,Chennai
3269,2018-11-01,30 Days,10.6,Srinagar
3270,2018-05-01,30 Days,9.79,Pune
3271,2017-06-01,60 Days,13.98,Bengaluru
3272,2017-10-01,6 Month,8.24,Nasik
3273,2018-04-01,24 Months and more,2.36,Nasik
3274,2018-11-01,60 Days,2.94,Chennai
3275,2017-10-01,12 Months,16.78,Chandigarh
3276,2017-08-01,60 Days,7.07,Aurangabad
3277,2017-04-01,6 Month,0.59,Aurangabad
3278,2017-01-01,90 Days,2.8,Srinagar
3282,2018-07-01,30 Days,11.78,Srinagar
3284,2017-06-01,6 Month,4.71,Aurangabad
3286,2017-03-01,24 Months and more,4.2,Mumbai
3287,2018-10-01,6 Month,7.07,Shillong
3288,2017-10-01,6 Month,7.07,Pune
3289,2018-02-01,30 Days,4.71,Shillong
3290,2018-05-01,60 Days,1.18,Delhi
3291,2017-11-01,6 Month,2.8,Delhi
3292,2018-11-01,12 Months,0.59,Chandigarh
3293,2017-12-01,30 Days,12.95,Shillong
3294,2018-02-01,12 Months,9.79,Aurangabad
3295,2017-06-01,24 Months and more,2.36,Nagpur
3297,2017-02-01,90 Days,2.36,Jaipur
3298,2018-04-01,24 Months and more,3.53,Pune
3299,2017-10-01,90 Days,5.3,Chandigarh
3305,2017-07-01,6 Month,9.79,Bengaluru
3306,2018-12-01,24 Months and more,5.89,Chandigarh
3308,2018-09-01,30 Days,2.94,Gandhinagar
3309,2017-01-01,90 Days,2.36,Bengaluru
3311,2017-08-01,30 Days,1.18,Mumbai
3313,2017-11-01,12 Months,13.98,Bengaluru
3314,2018-09-01,12 Months,1.77,Jaipur
3315,2017-06-01,30 Days,5.89,Jaipur
3316,2018-12-01,90 Days,11.19,Nagpur
3320,2017-01-01,30 Days,1.4,Chennai
3321,2018-11-01,12 Months,11.78,Nagpur
3324,2018-01-01,30 Days,8.39,Bengaluru
3325,2017-10-01,30 Days,1.18,Gandhinagar
3326,2017-07-01,60 Days,5.3,Delhi
3327,2018-05-01,24 Months and more,7.07,Ranchi
3333,2018-01-01,90 Days,6.48,Shillong
3334,2017-09-01,12 Months,7.07,Srinagar
3335,2018-01-01,24 Months and more,9.79,Gandhinagar
3336,2018-10-01,30 Days,2.36,Nasik
3337,2017-11-01,12 Months,6.48,Jaipur
3339,2017-07-01,30 Days,4.71,Chandigarh
3340,2018-03-01,90 Days,1.18,Nagpur
3342,2017-07-01,90 Days,1.18,Chennai
3343,2018-04-01,60 Days,13.98,Shillong
3344,2018-11-01,60 Days,16.78,Bengaluru
3345,2018-05-01,24 Months and more,8.39,Shillong
3346,2018-01-01,6 Month,1.77,Gandhinagar
3348,2017-02-01,12 Months,4.71,Bengaluru
3349,2018-09-01,90 Days,2.94,Aurangabad
3355,2018-02-01,60 Days,0.59,Nasik
3356,2018-10-01,90 Days,11.19,Pune
3357,2017-08-01,24 Months and more,1.18,Srinagar
3358,2017-02-01,6 Month,2.36,Chennai
3360,2018-11-01,90 Days,1.77,Gandhinagar
3362,2017-04-01,24 Months and more,14.13,Chennai
3365,2017-12-01,90 Days,11.19,Delhi
3366,2018-06-01,30 Days,4.2,Mumbai
3367,2017-11-01,24 Months and more,15.38,Jaipur
3369,2017-09-01,12 Months,13.98,Chandigarh
3370,2018-11-01,6 Month,4.12,Shillong
3371,2018-01-01,90 Days,1.77,Jaipur
3374,2017-09-01,30 Days,3.53,Ranchi
3375,2018-06-01,60 Days,8.39,Gandhinagar
3376,2017-02-01,6 Month,14.13,Chennai
3377,2018-09-01,90 Days,5.59,Gandhinagar
3378,2017-02-01,60 Days,4.12,Nagpur
3382,2017-04-01,90 Days,1.18,Aurangabad
3383,2018-09-01,90 Days,5.59,Nagpur
3386,2018-06-01,60 Days,3.53,Aurangabad
3388,2018-12-01,30 Days,1.4,Chandigarh
3390,2017-09-01,60 Days,2.8,Bhopal
3391,2018-06-01,90 Days,9.79,Chennai
3395,2018-06-01,6 Month,7.07,Aurangabad
3396,2018-02-01,30 Days,1.18,Delhi
3397,2017-07-01,30 Days,6.48,Nasik
3400,2017-09-01,24 Months and more,15.38,Shillong
3402,2017-11-01,30 Days,6.48,Gandhinagar
3403,2018-06-01,60 Days,5.3,Bhopal
3404,2018-07-01,6 Month,6.48,Shillong
3405,2017-05-01,30 Days,5.89,Nasik
3407,2017-09-01,6 Month,1.77,Nagpur
3408,2017-03-01,90 Days,2.8,Bhopal
3411,2017-12-01,60 Days,6.48,Bhopal
3413,2018-05-01,60 Days,3.53,Gandhinagar
3414,2018-12-01,24 Months and more,12.59,Gandhinagar
3415,2018-09-01,90 Days,5.89,Delhi
3416,2017-06-01,12 Months,1.4,Jaipur
3418,2018-01-01,24 Months and more,11.19,Mumbai
3420,2018-02-01,30 Days,13.98,Pune
3421,2017-09-01,90 Days,13.98,Ranchi
3422,2018-07-01,24 Months and more,6.99,Shillong
3423,2017-05-01,30 Days,2.36,Delhi
3425,2018-10-01,12 Months,6.48,Bengaluru
3427,2018-10-01,30 Days,5.59,Chennai
3428,2018-06-01,12 Months,12.95,Aurangabad
3429,2017-01-01,24 Months and more,11.78,Chandigarh
3431,2018-04-01,24 Months and more,8.39,Bhopal
3432,2018-03-01,6 Month,9.42,Delhi
3434,2017-01-01,24 Months and more,15.38,Ranchi
3435,2017-01-01,24 Months and more,6.48,Aurangabad
3436,2017-01-01,12 Months,6.99,Pune
3437,2017-06-01,24 Months and more,6.99,Srinagar
3438,2018-07-01,90 Days,15.38,Chennai
3441,2018-05-01,12 Months,7.07,Ranchi
3442,2017-11-01,6 Month,1.4,Ranchi
3443,2018-02-01,60 Days,4.12,Bhopal
3444,2017-12-01,12 Months,4.2,Chennai
3445,2018-03-01,30 Days,1.18,Aurangabad
3446,2018-12-01,12 Months,4.2,Bengaluru
3447,2017-12-01,12 Months,3.53,Shillong
3449,2017-08-01,90 Days,5.59,Jaipur
3450,2017-02-01,12 Months,11.19,Mumbai
3451,2018-02-01,90 Days,3.53,Pune
3452,2018-07-01,60 Days,7.07,Nasik
3454,2018-03-01,90 Days,4.12,Aurangabad
3455,2018-09-01,60 Days,2.36,Jaipur
3456,2017-12-01,6 Month,13.98,Bhopal
3457,2017-09-01,90 Days,2.36,Aurangabad
3458,2018-03-01,30 Days,0.59,Bhopal
3460,2018-03-01,60 Days,3.53,Srinagar
3462,2017-09-01,24 Months and more,9.42,Mumbai
3463,2018-08-01,90 Days,15.38,Nagpur
3464,2018-02-01,24 Months and more,7.07,Aurangabad
3467,2018-01-01,60 Days,2.94,Jaipur
3468,2017-09-01,24 Months and more,1.18,Gandhinagar
3469,2018-08-01,24 Months and more,4.12,Bengaluru
3470,2018-06-01,60 Days,4.71,Gandhinagar
3471,2018-06-01,24 Months and more,4.12,Pune
3473,2017-04-01,60 Days,5.89,Chandigarh
3474,2018-12-01,90 Days,1.18,Delhi
3475,2018-08-01,12 Months,2.36,Gandhinagar
3476,2017-11-01,6 Month,10.6,Shillong
3478,2018-05-01,90 Days,2.36,Delhi
3480,2017-04-01,30 Days,1.4,Chennai
3481,2017-05-01,30 Days,16.78,Delhi
3484,2018-11-01,30 Days,11.19,Bengaluru
3485,2017-09-01,6 Month,16.78,Chennai
3486,2018-01-01,60 Days,13.98,Ranchi
3487,2018-01-01,6 Month,2.8,Nagpur
